model,prompt,project,metric,mean,std,min,max,runs_available,avg_valid_rows
deepseek-v4-flash,prompt4_pairwise_fewshot,talenddataquality,pearson,0.41343957168645745,0.05309886608929088,0.3508563593436911,0.48986736758303695,5,277.0
deepseek-v4-flash,prompt4_pairwise_fewshot,talenddataquality,rmse,3.8610486146932965,0.18722869430572822,3.5824481877691605,4.074221149905752,5,277.0
deepseek-v4-flash,prompt4_pairwise_fewshot,talenddataquality,spearman,0.4327437248254896,0.02697301584931001,0.40561259615693124,0.47278515137033333,5,277.0
deepseek-v4-flash,prompt4_pairwise_fewshot,talendesb,mae,3.5793103448275865,0.11710607473057508,3.5114942528735633,3.7873563218390807,5,174.0
deepseek-v4-flash,prompt4_pairwise_fewshot,talendesb,pearson,0.3703540218347098,0.036261502977993035,0.341638615547392,0.4311216494536517,5,174.0
deepseek-v4-flash,prompt4_pairwise_fewshot,talendesb,rmse,4.631746481738462,0.20700498406577464,4.504786726169827,4.99712561057015,5,174.0
deepseek-v4-flash,prompt4_pairwise_fewshot,talendesb,spearman,0.4655670129378608,0.022936432053283873,0.43540031873872104,0.48927878796900487,5,174.0
deepseek-v4-flash,prompt4_pairwise_fewshot,titanium,mae,2.252328159645233,0.05985464273340936,2.1840354767184036,2.3237250554323725,5,451.0
deepseek-v4-flash,prompt4_pairwise_fewshot,titanium,pearson,0.38810836239665053,0.03551256526394501,0.3296187120872541,0.4172234649150831,5,451.0
deepseek-v4-flash,prompt4_pairwise_fewshot,titanium,rmse,3.4464997694907806,0.1034244832515822,3.3366206997519665,3.596931434263627,5,451.0
deepseek-v4-flash,prompt4_pairwise_fewshot,titanium,spearman,0.38038670159275534,0.021152924369233484,0.35160737125952585,0.40825130008716304,5,451.0
deepseek-v4-flash,prompt4_pairwise_fewshot,usergrid,mae,1.6969072164948453,0.1368845466263892,1.556701030927835,1.8350515463917525,5,97.0
deepseek-v4-flash,prompt4_pairwise_fewshot,usergrid,pearson,0.25443938158017143,0.016189653387408926,0.23038945273537495,0.2695150717793345,5,97.0
deepseek-v4-flash,prompt4_pairwise_fewshot,usergrid,rmse,2.5544385076529905,0.1629250717234864,2.361634939534234,2.773215038449874,5,97.0
deepseek-v4-flash,prompt4_pairwise_fewshot,usergrid,spearman,0.2979518315076891,0.042889655711390896,0.24032653356297395,0.3468272228406468,5,97.0
