model,prompt,project,input_file,n_rows,metric_type,pearson_run1,spearman_run1,valid_n_run1,runtime_sec_run1,pearson_run2,spearman_run2,valid_n_run2,runtime_sec_run2,pearson_run3,spearman_run3,valid_n_run3,runtime_sec_run3,pearson_run4,spearman_run4,valid_n_run4,runtime_sec_run4,pearson_run5,spearman_run5,valid_n_run5,runtime_sec_run5,pearson_mean,pearson_std,spearman_mean,spearman_std,total_runtime_sec,accuracy_run1,accuracy_run2,accuracy_run3,accuracy_run4,accuracy_run5,accuracy_mean,accuracy_std
deepseek-v4-flash,prompt2_scale_fewshot,mesos,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/mesos_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,336,numeric_story_point,0.3687327940883726,0.44322526166268444,336,353.21,0.4626297121048197,0.5003528179070259,336,342.2076,0.33137076322231857,0.4788483200728669,336,340.2268,0.38260722196689045,0.4255532353524451,336,350.10360000000003,0.36897783075589374,0.46129141366690746,336,348.2572,0.382863664427659,0.04849408436247498,0.461854209732386,0.0293089483101022,1734.0052,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,moodle,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/moodle_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,234,numeric_story_point,0.06698891074025062,0.05601721680328514,233,225.8155,0.04340380115295847,0.045908414505245444,234,225.8313,0.037311061466092595,0.010420064978612859,234,228.04850000000002,-0.011043572070108042,-0.05237564035616158,234,229.22269999999997,0.0204614476698349,-0.0015802319099022155,234,225.90589999999997,0.03142432979180571,0.029011671077816197,0.011677964804215929,0.04306367198897094,1134.8238999999999,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,mule,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/mule_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,178,numeric_story_point,0.2665995615153729,0.2952096826195392,178,225.0625,0.36842016496479063,0.3778434260251289,178,183.8323,0.37429082676178665,0.3721183855275388,178,180.83089999999999,0.3563320951954486,0.3386696768349145,178,184.8532,0.3972172451325784,0.36668965956452404,178,178.74949999999998,0.3525719787139954,0.05030275384230294,0.35010616611432904,0.034180852947955774,953.3284,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,mulestudio,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/mulestudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,147,numeric_story_point,0.21954923083412542,0.3052160846393036,147,146.8156,0.41116404862649786,0.3737696517601244,147,146.67219999999998,0.3117300125403729,0.3398326713103218,147,149.69919999999996,0.347046383275935,0.3861439455849865,147,145.50439999999998,0.1701160780002642,0.2188592361602325,147,137.2038,0.29192115065543905,0.097113620955471,0.32476431789099375,0.06707096331108865,725.8951999999999,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,springxd,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/springxd_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,706,numeric_story_point,0.3499101336044258,0.43435143264819426,706,752.2524999999999,0.3813271688280084,0.4394415556492507,706,802.0764,0.3707926165934383,0.4663546683826563,706,784.3404,0.3660153605144163,0.46596519479991116,706,766.7032,0.3629069190332635,0.44156546029098237,706,774.3626999999999,0.36619043971471044,0.011469101186545698,0.44953566235419895,0.015401172382598787,3879.7352,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,talenddataquality,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/talenddataquality_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,277,numeric_story_point,0.2910936573550835,0.3443699111559945,277,287.6119,0.2814018682440619,0.3682021697771894,277,298.4313,0.2506996129731059,0.3068807832954544,277,299.7776,0.2582202555901886,0.3609631811975362,277,303.87739999999997,0.22345409910537378,0.27690195475717866,277,289.08840000000004,0.2609738986535627,0.02667105481757604,0.33146360003667064,0.038625796679458826,1478.7866,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,talendesb,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/talendesb_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,174,numeric_story_point,0.43714106347105014,0.5271062384829553,174,182.0702,0.48770361785520266,0.5592627406060566,174,183.7145,0.3910102593104573,0.5246120148312673,174,188.1727,0.46025135876999607,0.5372272041336228,174,178.7416,0.417113272187742,0.524363378473506,174,182.50960000000003,0.43864391431888966,0.037445054304578486,0.5345143153054815,0.014797136514447905,915.2086,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,titanium,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/titanium_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,451,numeric_story_point,0.38976772387814196,0.39208998486504126,451,466.163,0.2986028549124585,0.32625999531182914,451,465.44450000000006,0.35417596929288575,0.3247153488349937,451,472.23339999999996,0.34509489037825036,0.34197652823138547,451,493.3891,0.2949543235382379,0.2724662954528404,451,468.19820000000004,0.3365191523999949,0.039956218047365946,0.331501630539218,0.04283506539495376,2365.4282000000003,,,,,,,
deepseek-v4-flash,prompt2_scale_fewshot,usergrid,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/usergrid_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,97,numeric_story_point,0.1815117759028738,0.13118674326275734,97,100.2518,0.21011453165885785,0.13619945486676843,97,100.876,0.21576394318018044,0.1692801082478512,97,98.05969999999999,0.3023494197162713,0.2382317207242793,97,100.3338,0.22410265092441392,0.1496040120932679,97,100.39469999999999,0.22676846427651945,0.045183537335949785,0.16490040783898485,0.04356316915880237,499.916,,,,,,,
deepseek-v4-flash,prompt2_count_fewshot,appceleratorstudio,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/appceleratorstudio_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,584,numeric_story_point,0.3129404099341636,0.32252621923614744,584,571.5731999999999,0.2597484033712796,0.2908530183667045,584,575.0749999999999,0.2695680817245767,0.29076446935811606,584,568.2486,0.24851837709076724,0.2716418860031031,584,560.4737,0.2815128705534562,0.29694733398696405,584,568.0745999999999,0.2744576285348487,0.024717476825974173,0.29454658539020706,0.01831116870265679,2843.4451,,,,,,,
deepseek-v4-flash,prompt2_count_fewshot,aptanastudio,../Result/deepseek_v4_flash_prompt2_fewshot_count_v7/aptanastudio_deepseek_v4_flash_prompt2_fewshot_count_v7.csv,166,numeric_story_point,0.13986553030465698,0.16828138235428072,166,164.00150000000002,0.12806850682598478,0.18494599305217738,166,162.9647,0.2155638045893487,0.1654275621458108,166,161.72220000000002,0.1520447628294303,0.16203180719269347,166,160.76960000000003,0.22503860948043894,0.22295812309275448,166,160.9484,0.17211624280597196,0.044921162411498544,0.1807289735675434,0.025197936780195218,810.4064000000001,,,,,,,
