model,prompt,project,metric_type,runtime_sec_run1,pearson_run1,spearman_run1,mae_run1,rmse_run1,valid_n_run1,runtime_sec_run2,pearson_run2,spearman_run2,mae_run2,rmse_run2,valid_n_run2,runtime_sec_run3,pearson_run3,spearman_run3,mae_run3,rmse_run3,valid_n_run3,runtime_sec_run4,pearson_run4,spearman_run4,mae_run4,rmse_run4,valid_n_run4,runtime_sec_run5,pearson_run5,spearman_run5,mae_run5,rmse_run5,valid_n_run5,total_runtime_sec,pearson_mean,pearson_std,spearman_mean,spearman_std,accuracy_run1,accuracy_run2,accuracy_run3,accuracy_run4,accuracy_run5,accuracy_mean,accuracy_std
qwen,prompt2_count,titanium,numeric_story_point,1287120.428,0.3998169046574351,0.3841837953640803,1.9955654101995566,3.15876986356996,451,366065.19899999996,0.32265132893333,0.37051875192681244,1.957871396895787,3.2965075922840974,451,371645.66099999996,0.43506165463832486,0.39428321041903047,1.9113082039911309,3.0596436179294053,451,370694.54699999996,0.3633163812843881,0.3627905666765222,1.9911308203991132,3.2040716889649343,451,377222.072,0.4148303339180185,0.3530639941997674,1.9645232815964524,3.111383861623003,451,2772747.907,0.38713532068629924,0.04458221866011179,0.3729680637172426,0.016476351787559896,,,,,,,
qwen,prompt2_count,usergrid,numeric_story_point,284264.719,0.22173810371919764,0.19464304921093098,1.5876288659793814,2.0758801387641492,97,79435.575,0.16958342088605458,0.19133167661511152,1.4948453608247423,2.068417393918335,97,80873.69,0.25507208341419424,0.21368272275836514,1.3917525773195876,1.85283288256703,97,81654.226,0.2758993766782093,0.28325740325259674,1.2989690721649485,1.850048759457743,97,83156.693,0.16815951530919732,0.18139906368764164,1.4536082474226804,1.9974210176248484,97,609384.9029999999,0.2180905000013706,0.048910246124583785,0.21286278310492923,0.04105358612893474,,,,,,,
qwen,prompt2_scale,appceleratorstudio,numeric_story_point,210860.53799999997,0.3351318721209161,0.3637710055396391,2.914383561643836,4.824665507605058,584,194379.353,0.32526014299429173,0.35927272931580284,3.035958904109589,4.911372042766232,584,209256.25900000002,0.3839738607903283,0.4241251090359655,2.8886986301369864,4.620346603851926,584,202093.38100000002,0.3594449842480937,0.3910673691215149,2.8767123287671232,4.560476423081195,584,175987.888,0.3220405733188857,0.3570542987065308,2.816780821917808,4.685484726609156,584,992577.419,0.34517028669450306,0.026180391436193072,0.37905810234389065,0.02865563325855102,,,,,,,
qwen,prompt2_scale,aptanastudio,numeric_story_point,90597.84100000001,0.3912534136440575,0.34957870493508253,4.4397590361445785,6.189283392741251,166,78992.34300000001,0.2767859763815055,0.30880845992549033,4.704819277108434,6.948606517145756,166,87728.80500000001,0.26624684000684457,0.37734851030621447,4.765060240963855,7.498192553293431,166,79235.94100000002,0.4397804046068136,0.3468409740499259,4.355421686746988,6.271469150143754,166,87986.302,0.3491477351367509,0.33176241675667484,4.433734939759036,6.477951483431066,166,424541.2320000001,0.34464287395519444,0.07415268472887022,0.3428678131946776,0.025165005084398263,,,,,,,
qwen,prompt2_scale,bamboo,numeric_story_point,57517.924999999996,0.49513546691852445,0.38172152795723246,2.1333333333333333,2.6076809620810595,105,53506.89,0.29571093839737067,0.36625833343304853,1.8666666666666667,2.301138434609725,105,53683.505000000005,0.5540302136107913,0.5363708957235803,1.9619047619047618,2.410295378065479,105,58412.901000000005,0.32483103041107475,0.3742688453088526,1.7523809523809524,2.233937373893053,105,57495.229999999996,0.4690343215045125,0.4239755415499338,1.8571428571428572,2.2614786566062732,105,280616.451,0.4277483941684547,0.11204744171639772,0.4165190287945295,0.07060834078946526,,,,,,,
qwen,prompt2_scale,clover,numeric_story_point,46152.001000000004,0.580975862669892,0.6891407228652204,3.5064935064935066,6.8357349807663494,77,48029.293,0.5060315161656503,0.6369187279680282,3.8051948051948052,7.104964425000275,77,50651.715,0.5221888151729073,0.6040500140932986,3.5714285714285716,7.157776626422917,77,43072.865,0.5347604814939442,0.6406422103627863,3.6623376623376624,6.9525292043732065,77,47260.350999999995,0.5342780064941066,0.7320326394040811,3.6623376623376624,6.920701113045115,77,235166.22499999998,0.5356469363993,0.027908625327975552,0.660556862938683,0.0501851632660893,,,,,,,
qwen,prompt2_scale,datamanagement,numeric_story_point,1053831.47,0.4358644744057294,0.5018952451596348,8.15524625267666,14.824924033228852,934,950167.591,0.4775125141787401,0.5096238196087015,7.904710920770878,14.234386991341493,934,966149.135,0.4979185059791197,0.49570607255587684,8.185224839400428,14.690927148110568,934,969454.319,0.47110996000647065,0.4872121443452779,8.021413276231263,14.772145209479081,934,919180.5059999999,0.43861141530937797,0.46029966465361033,8.331905781584583,15.185716832515505,934,4858783.021,0.4642033739758875,0.026549886283976074,0.4909473892646202,0.019003583505496965,,,,,,,
qwen,prompt2_scale,duracloud,numeric_story_point,195693.36600000004,0.5277183224250174,0.5119081108668818,1.208955223880597,1.6481559120567935,134,168929.353,0.5073526434849269,0.5365413408440153,1.3059701492537314,1.8946113688052149,134,172675.418,0.47259006524898794,0.43553268048293264,1.2238805970149254,1.7277368511627202,134,173244.144,0.4470046139208719,0.4889169278710424,1.3805970149253732,1.9868973788371282,134,168384.16700000002,0.5187451449391365,0.47707430602113926,1.4029850746268657,1.9122542764785357,134,878926.4480000001,0.49468215800378806,0.03388275916417561,0.48999467321720225,0.038016434251805176,,,,,,,
qwen,prompt2_scale,jirasoftware_filtered,numeric_story_point,101884.358,0.5917995119052778,0.5847818803072071,2.8615384615384616,4.275151819166552,65,85750.313,0.46466176695810113,0.5519819107716033,2.5076923076923077,3.8290388430438336,65,91954.4,0.3858724786767218,0.4674688366099945,2.5538461538461537,3.8670203198129376,65,90258.31199999999,0.5065902054570917,0.5131200847261362,3.1076923076923078,4.48587526833693,65,92048.921,0.434855658895908,0.5355301834229433,2.8,4.091266495654071,65,461896.304,0.47675592437862,0.07792113473306993,0.530576579167577,0.04389834124637644,,,,,,,
qwen,prompt2_scale,mesos,numeric_story_point,557625.37,0.46429337659414033,0.5492120896273065,1.5982142857142858,2.8268483207578416,336,497607.772,0.4578268869860658,0.46296774520946715,1.6160714285714286,2.265817417937414,336,494438.58499999996,0.5148431350232703,0.529846635342701,1.5744047619047619,2.3948108584226535,336,484293.64300000004,0.48632274435974565,0.5418936165992465,1.4285714285714286,2.280872848797353,336,491295.671,0.40255924277059935,0.5800494110075956,1.630952380952381,3.088958832141773,336,2525261.041,0.4651690771467643,0.04150197474488581,0.5327938995572634,0.04321406997496706,,,,,,,
qwen,prompt2_scale,moodle,numeric_story_point,428814.68799999997,0.15954769702967175,0.18193949931863007,7.282051282051282,11.5990715808836,234,383111.426,0.05449366797078935,0.11876130202920422,7.2094017094017095,11.072218255345994,234,383429.497,0.13434813846061294,0.15502523998170162,6.854700854700854,10.341188081655364,234,377501.955,0.06794222680594873,0.10347199910648491,7.205128205128205,11.9853899665206,234,384255.706,0.06965028759903943,0.17894211257341922,7.145299145299146,11.34124912097127,234,1957113.272,0.09719640357321244,0.04665311938220356,0.147628030601888,0.03533981627619397,,,,,,,
qwen,prompt2_scale,mule,numeric_story_point,352428.41099999996,0.4947956774732595,0.47899810507528884,2.601123595505618,3.615665043648978,178,315521.03299999994,0.4467616046860379,0.4404855170947915,2.657303370786517,3.724350482547787,178,318976.282,0.5043651945118292,0.47871714525654097,2.5730337078651684,3.681108772877108,178,322051.334,0.3761741530269038,0.4154696564513916,2.662921348314607,3.974638701692113,178,313241.05,0.39631878945618104,0.38851009933936614,2.747191011235955,3.721332369829598,178,1622218.1099999999,0.4436830838308422,0.0572388093781457,0.4404361046434758,0.039598301578107765,,,,,,,
qwen,prompt2_scale,mulestudio,numeric_story_point,299128.174,0.33435243800707415,0.360523313863185,3.8299319727891157,5.486532677049006,147,273844.843,0.3437730040705418,0.3195470529146781,3.857142857142857,5.4766045392114595,147,274742.907,0.29227657778617955,0.33479529152172294,3.8095238095238093,5.475983432939067,147,273020.05500000005,0.342693289290102,0.38382220487635527,3.7891156462585034,5.372517620095005,147,274698.154,0.3140976035797039,0.3690026701678331,3.836734693877551,5.601263220012424,147,1395434.133,0.32543858254672026,0.02203218725098456,0.3535381066687549,0.02603726801606724,,,,,,,
qwen,prompt2_scale,springxd,numeric_story_point,1670778.3939999999,0.39833804435587167,0.44506302868777897,2.9702549575070822,4.158168860442619,706,1551778.37,0.36590613470054095,0.4087752668421433,3.08356940509915,4.291271858587608,706,1563610.074,0.41619121339682025,0.4690158214323182,2.941926345609065,4.116057135853324,706,1542781.4979999997,0.3846848401837713,0.43649981179096015,2.971671388101983,4.183130833407569,706,1549102.97,0.3931151578437973,0.45041317823907395,3.001416430594901,4.287969863747637,706,7878051.305999999,0.3916470780961603,0.018441853139911844,0.44195342139845495,0.02204621530105859,,,,,,,
